objective,metric,early_stopping_rounds,num_leaves,max_depth,learning_rate,reg_alpha,train_rmspe,valid_rmspe
rmse,rmse,75,5000,100,0.01,0.01,0.1785630825352396,0.2496628300270632
rmse,rmse,75,5000,100,0.1,0.01,0.1828732205058287,0.25131649239349213
rmse,rmse,75,1000,100,0.01,0.01,0.20731850312582017,0.24696030748965025
rmse,rmse,75,5000,50,0.01,0.01,0.17856308311561392,0.24966281339146212
rmse,rmse,75,5000,100,0.01,0.0,0.17897725213611987,0.2498224409080205
rmse,rmse,75,5000,100,0.1,0.0,0.18385661649494658,0.25136470239469877
rmse,rmse,75,1000,100,0.001,0.01,0.29486530358841084,0.30531944145190015
rmse,rmse,75,5000,100,0.1,0.01,0.1828732205058287,0.25131649239349213
rmse,rmse,75,500,50,0.01,0.01,0.2154792133119769,0.24576768094999704
rmse,rmse,75,500,50,0.1,0.0,0.21747063246566106,0.24656495503481918
rmse,rmse,75,1000,100,0.1,0.0,0.21113672050383042,0.24722004939351305
rmse,rmse,75,500,100,0.001,0.0,0.29858429148498344,0.3065690933519719
rmse,rmse,75,1000,100,0.001,0.0,0.29486175520411056,0.30533026059159785
rmse,rmse,75,5000,100,0.01,0.01,0.1785630825352396,0.2496628300270632
rmse,rmse,75,5000,50,0.01,0.0,0.17897725213611987,0.2498224409080205
rmse,rmse,75,500,100,0.01,0.0,0.21534913576357415,0.24573209057919854
rmse,rmse,75,1000,50,0.1,0.01,0.20931125318419472,0.2471100299399726
rmse,rmse,75,5000,100,0.01,0.0,0.17897725213611987,0.2498224409080205
rmse,rmse,75,5000,50,0.1,0.01,0.1828732205058287,0.25131649239349213
rmse,rmse,75,500,100,0.001,0.01,0.2985837268015642,0.3065741076528691
rmse,rmse,75,1000,100,0.001,0.0,0.29486175520411056,0.30533026059159785
rmse,rmse,75,1000,100,0.1,0.0,0.21113672050383042,0.24722004939351305
rmse,rmse,75,1000,100,0.1,0.0,0.21113672050383042,0.24722004939351305
rmse,rmse,75,1000,100,0.001,0.0,0.29486175520411056,0.30533026059159785
rmse,rmse,75,5000,50,0.001,0.0,0.279587041590541,0.3015879662484256
rmse,rmse,75,1000,100,0.1,0.01,0.20931125318419472,0.2471100299399726
rmse,rmse,75,5000,50,0.1,0.01,0.1828732205058287,0.25131649239349213
rmse,rmse,75,1000,50,0.01,0.0,0.20646574389372715,0.24690127851302962
rmse,rmse,75,1000,50,0.001,0.0,0.29486175520411056,0.30533026059159785
rmse,rmse,75,5000,50,0.01,0.01,0.17856308311561392,0.24966281339146212
rmse,rmse,75,1000,100,0.001,0.01,0.29486530358841084,0.30531944145190015
rmse,rmse,75,1000,50,0.01,0.01,0.20731850312582017,0.24696030748965025
