,objective,metric,early_stopping_rounds,num_leaves,max_depth,learning_rate,reg_alpha,train_rmspe_mean,valid_rmspe_mean,train_rmspe_std,valid_rmspe_std
0,rmse,rmse,75,5000,100,0.001,0.01,0.2795810163419935,0.30160515615398276,0.00038581875463019423,0.0024499723729559534
1,rmse,rmse,75,5000,100,0.01,0.01,0.1785630825352396,0.2496628300270632,0.0015503660323386522,0.0038071569614223214
2,rmse,rmse,75,1000,50,0.01,0.0,0.20646574389372715,0.24690127851302962,0.002241448799371775,0.0034275967143003764
3,rmse,rmse,75,500,50,0.001,0.01,0.2985837268015642,0.3065741076528691,0.00044367525415647016,0.002171421356799664
4,rmse,rmse,75,1000,100,0.01,0.0,0.20646574389372715,0.24690127851302962,0.002241448799371775,0.0034275967143003764
5,rmse,rmse,75,5000,100,0.01,0.0,0.17897725213611987,0.2498224409080205,0.002244943600225968,0.003873241852565955
6,rmse,rmse,75,5000,100,0.1,0.0,0.18385661649494658,0.25136470239469877,0.0032436848704462894,0.004440920616969476
7,rmse,rmse,75,5000,100,0.01,0.0,0.17897725213611987,0.2498224409080205,0.002244943600225968,0.003873241852565955
8,rmse,rmse,75,1000,50,0.001,0.01,0.29486530358841084,0.30531944145190015,0.00042545461809162283,0.002210850888946879
9,rmse,rmse,75,5000,100,0.001,0.01,0.2795810163419935,0.30160515615398276,0.00038581875463019423,0.0024499723729559534
10,rmse,rmse,75,500,100,0.01,0.0,0.21534913576357415,0.24573209057919854,0.0016872315293144484,0.0031416077879831195
11,rmse,rmse,75,1000,50,0.001,0.0,0.29486175520411056,0.30533026059159785,0.0004252971730797578,0.002248704146458115
12,rmse,rmse,75,5000,100,0.01,0.01,0.1785630825352396,0.2496628300270632,0.0015503660323386522,0.0038071569614223214
13,rmse,rmse,75,5000,100,0.1,0.0,0.18385661649494658,0.25136470239469877,0.0032436848704462894,0.004440920616969476
14,rmse,rmse,75,1000,100,0.001,0.0,0.29486175520411056,0.30533026059159785,0.0004252971730797578,0.002248704146458115
15,rmse,rmse,75,1000,100,0.001,0.0,0.29486175520411056,0.30533026059159785,0.0004252971730797578,0.002248704146458115
16,rmse,rmse,75,1000,100,0.1,0.01,0.20931125318419472,0.2471100299399726,0.002212845873774411,0.0030015423649646074
17,rmse,rmse,75,1000,100,0.001,0.0,0.29486175520411056,0.30533026059159785,0.0004252971730797578,0.002248704146458115
18,rmse,rmse,75,1000,100,0.01,0.0,0.20646574389372715,0.24690127851302962,0.002241448799371775,0.0034275967143003764
19,rmse,rmse,75,5000,100,0.01,0.0,0.17897725213611987,0.2498224409080205,0.002244943600225968,0.003873241852565955
20,rmse,rmse,75,5000,100,0.001,0.0,0.279587041590541,0.3015879662484256,0.00038475027554722615,0.002399492790604271
21,rmse,rmse,75,500,50,0.001,0.0,0.29858429148498344,0.3065690933519719,0.00044431988857216435,0.0021609757405038786
22,rmse,rmse,75,500,50,0.001,0.01,0.2985837268015642,0.3065741076528691,0.00044367525415647016,0.002171421356799664
23,rmse,rmse,75,500,100,0.01,0.0,0.21534913576357415,0.24573209057919854,0.0016872315293144484,0.0031416077879831195
24,rmse,rmse,75,500,50,0.001,0.01,0.2985837268015642,0.3065741076528691,0.00044367525415647016,0.002171421356799664
25,rmse,rmse,75,1000,100,0.001,0.0,0.29486175520411056,0.30533026059159785,0.0004252971730797578,0.002248704146458115
26,rmse,rmse,75,5000,50,0.01,0.0,0.17897725213611987,0.2498224409080205,0.002244943600225968,0.003873241852565955
27,rmse,rmse,75,5000,100,0.1,0.01,0.1828732205058287,0.25131649239349213,0.004784660296180921,0.003873534754087812
28,rmse,rmse,75,5000,50,0.01,0.0,0.17897725213611987,0.2498224409080205,0.002244943600225968,0.003873241852565955
29,rmse,rmse,75,5000,100,0.001,0.0,0.279587041590541,0.3015879662484256,0.00038475027554722615,0.002399492790604271
30,rmse,rmse,75,1000,50,0.001,0.0,0.29486175520411056,0.30533026059159785,0.0004252971730797578,0.002248704146458115
31,rmse,rmse,75,5000,50,0.1,0.0,0.18385661649494658,0.25136470239469877,0.0032436848704462894,0.004440920616969476
