,hidden_layer_sizes,activation,learning_rate_init,learning_rate,train_rmspe_mean,valid_rmspe_mean,train_rmspe_std,valid_rmspe_std
0,"(64, 128, 128)",tanh,0.01,constant,1.183198435383981,1.1811947757589205,0.3249248442901076,0.31606285127189027
1,"(64, 128, 128)",relu,0.0001,constant,0.3986149600650629,0.39928406744129674,0.0804037603301822,0.08401023537497371
2,"(64, 128)",tanh,0.0001,adaptive,0.3806668891585474,0.3780167709206542,0.06962587911849498,0.0660064079327152
3,"(32, 64)",relu,0.01,constant,0.46976435705276676,0.4693829503892609,0.14685887901779127,0.14905670518484146
4,"(64, 128)",tanh,0.0001,constant,0.3726420872997682,0.3724081021456595,0.048972618013593774,0.04816531952618295
5,"(32, 64)",relu,0.01,constant,0.4216300810936946,0.4211446142358539,0.12124407460485485,0.12140070301946569
6,"(64, 128)",tanh,0.0001,constant,0.45014634889668653,0.4469265826607262,0.039453118864686595,0.03758338675742787
7,"(32, 64)",tanh,0.0001,adaptive,0.3357156910755767,0.33637886191880195,0.05760303300076018,0.05962609173893246
8,"(64, 128)",relu,0.001,adaptive,0.5062376377546497,0.504435360883175,0.2169237788634303,0.21032990783118477
9,"(64, 128, 128)",relu,0.0001,constant,0.37120725672224747,0.37233823455394244,0.09101037270911158,0.09154067371868368
10,"(64, 128, 64)",relu,0.01,adaptive,0.4456294555791878,0.4484104497072846,0.11023291653918285,0.11148467997355123
11,"(64, 128)",tanh,0.0001,constant,0.5093836357933602,0.5074873668740919,0.11905442599049483,0.11413544377033608
12,"(64, 128, 128)",relu,0.01,constant,0.4048048485757735,0.40391304487980667,0.0664794435038599,0.07257658207731861
13,"(32, 64)",tanh,0.01,constant,0.8503808722780993,0.8506201513713305,0.3417494331586228,0.3505118039315872
14,"(64, 128)",tanh,0.001,constant,0.5469377164957396,0.5449792233409403,0.1817138365462787,0.17553147714469491
15,"(64, 128, 128)",relu,0.01,constant,0.49440320679835015,0.4926234556069269,0.1530204490538491,0.1558911130687488
